datamaskinid, bygg, rom, rad
D10135, Arne Rettedal, V-102, 4H
D10134, Arne Rettedal, V-102, 4H
D10133, Arne Rettedal, V-102, 2H
D10132, Arne Rettedal, V-102, 4H
D10131, Arne Rettedal, V-102, 6V
D10130, Arne Rettedal, V-102, 3H
D10129, Arne Rettedal, V-102, 2H
D10128, Arne Rettedal, V-102, 6V
D10127, Arne Rettedal, V-102, 1V
D10126, Arne Rettedal, V-102, 6H
D10125, Arne Rettedal, V-102, 5H
D10124, Arne Rettedal, V-102, 5H
D10123, Arne Rettedal, V-102, 3H
D10122, Arne Rettedal, V-102, 4H
D10121, Arne Rettedal, V-102, 3H
D10120, Arne Rettedal, V-102, 3H
D10119, Arne Rettedal, V-102, 3H
D10118, Arne Rettedal, V-102, 6V
D10117, Arne Rettedal, V-102, 2V
D10116, Arne Rettedal, V-102, 1V
D10156, Arne Rettedal, V-102, 1H
D10154, Arne Rettedal, V-102, 2V
D10153, Arne Rettedal, V-102, 1H
D10152, Arne Rettedal, V-102, 1V
D10151, Arne Rettedal, V-102, 1V
D10150, Arne Rettedal, V-102, 1V
D10149, Arne Rettedal, V-102, 1V
D10148, Arne Rettedal, V-102, 2V
D10147, Arne Rettedal, V-102, 5H
D10146, Arne Rettedal, V-102, 5H
D10145, Arne Rettedal, V-102, 4H
D10144, Arne Rettedal, V-102, 2H
D10143, Arne Rettedal, V-102, 3H
D10142, Arne Rettedal, V-102, 6V
D10141, Arne Rettedal, V-102, 6V
D10140, Arne Rettedal, V-102, 2H
D10139, Arne Rettedal, V-102, 6V
D10138, Arne Rettedal, V-102, 1H
D10137, Arne Rettedal, V-102, 5H
D10136, Arne Rettedal, V-102, 5H
D10179, Arne Rettedal, V-102, 5V
D10178, Arne Rettedal, V-102, 5V
D10177, Arne Rettedal, V-102, 3V
D10176, Arne Rettedal, V-102, 4V
D10174, Arne Rettedal, V-102, 4V
D10173, Arne Rettedal, V-102, 5V
D10172, Arne Rettedal, V-102, 5V
D10171, Arne Rettedal, V-102, 5V
D10170, Arne Rettedal, V-102, 5V
D10168, Arne Rettedal, V-102, 4V
D10166, Arne Rettedal, V-102, 3V
D10165, Arne Rettedal, V-102, 2H
D10164, Arne Rettedal, V-102, 3V
D10163, Arne Rettedal, V-102, 3V
D10162, Arne Rettedal, V-102, 3V
D10161, Arne Rettedal, V-102, 2V
D10160, Arne Rettedal, V-102, 2V
D10159, Arne Rettedal, V-102, 2V
D10158, Arne Rettedal, V-102, 1H
D10157, Arne Rettedal, V-102, 1H
D11991, Arne Rettedal, V-102, 3V
D11989, Arne Rettedal, V-102, 0_
D10398, Arne Rettedal, V-102, 1H
D11618, Arne Rettedal, V-102, 0_
D10181, Arne Rettedal, V-102, 4V
D10820, Arne Rettedal, V-102, 4V
D10807, Arne Rettedal, V-102, 4V
D10207, Arne Rettedal, V-102, 6H
D10195, Arne Rettedal, V-102, 2H
D10193, Arne Rettedal, V-102, 0_
D10184, Arne Rettedal, V-102, 6H
D10183, Arne Rettedal, V-102, 6H
D10182, Arne Rettedal, V-102, 6H
