datamaskinid, bygg, rom, rad
D11874, Ellen Aksel, H-209, 1
D11878, Ellen Aksel, H-209, 1
D11873, Ellen Aksel, H-209, 1
D11875, Ellen Aksel, H-209, 1
D11872, Ellen Aksel, H-209, 1
D11869, Ellen Aksel, H-209, 1
D11868, Ellen Aksel, H-209, 1
D11870, Ellen Aksel, H-209, 1
D11871, Ellen Aksel, H-209, 1
D11848, Ellen Aksel, H-209, 1
D11837, Ellen Aksel, H-209, 1
D11835, Ellen Aksel, H-209, 1
D11840, Ellen Aksel, H-209, 1
D11838, Ellen Aksel, H-209, 1
D11846, Ellen Aksel, H-209, 1
D11836, Ellen Aksel, H-209, 1
D11841, Ellen Aksel, H-209, 1
D11839, Ellen Aksel, H-209, 1
D11845, Ellen Aksel, H-209, 1
D11842, Ellen Aksel, H-209, 1
D11877, Ellen Aksel, H-209, 1
D11876, Ellen Aksel, H-209, 1
D11879, Ellen Aksel, H-209, 1
D11867, Ellen Aksel, H-209, 1
