datamaskinid, bygg, rom, rad
D11708, Hagbard-Line, HL A-117, 1
D11655, Hagbard-Line, HL A-117, 1
D11667, Hagbard-Line, HL A-117, 1
D11690, Hagbard-Line, HL A-117, 1
D11716, Hagbard-Line, HL A-117, 1
D11541, Hagbard-Line, HL A-117, 1
D11536, Hagbard-Line, HL A-117, 1
D11720, Hagbard-Line, HL A-117, 1
D11686, Hagbard-Line, HL A-117, 1
D11698, Hagbard-Line, HL A-117, 1
D11703, Hagbard-Line, HL A-117, 1
D11704, Hagbard-Line, HL A-117, 1
D11540, Hagbard-Line, HL A-117, 1
D11697, Hagbard-Line, HL A-117, 1
D11672, Hagbard-Line, HL A-117, 1
D11709, Hagbard-Line, HL A-117, 1
D51577, Hagbard-Line, HL A-117, 1
D11691, Hagbard-Line, HL A-117, 1
D11571, Hagbard-Line, HL A-117, 1
D11570, Hagbard-Line, HL A-117, 1
D11692, Hagbard-Line, HL A-117, 1
D11684, Hagbard-Line, HL A-117, 1
D11656, Hagbard-Line, HL A-117, 1
D11715, Hagbard-Line, HL A-117, 1
D11662, Hagbard-Line, HL A-117, 1
D11539, Hagbard-Line, HL A-117, 1
D11714, Hagbard-Line, HL A-117, 1
D11568, Hagbard-Line, HL A-117, 1
D11542, Hagbard-Line, HL A-117, 1
D11721, Hagbard-Line, HL A-117, 1
D11668, Hagbard-Line, HL A-117, 1
D11661, Hagbard-Line, HL A-117, 1
D11569, Hagbard-Line, HL A-117, 1
D11537, Hagbard-Line, HL A-117, 1
D11544, Hagbard-Line, HL A-117, 1
D11702, Hagbard-Line, HL A-117, 1
D11572, Hagbard-Line, HL A-117, 1
D11660, Hagbard-Line, HL A-117, 1
D11538, Hagbard-Line, HL A-117, 1
D11722, Hagbard-Line, HL A-117, 1
D11535, Hagbard-Line, HL A-117, 1
D11680, Hagbard-Line, HL A-117, 1
D11685, Hagbard-Line, HL A-117, 1
D11710, Hagbard-Line, HL A-117, 1
D11654, Hagbard-Line, HL A-117, 1
D11543, Hagbard-Line, HL A-117, 1
D11534, Hagbard-Line, HL A-117, 1
D11666, Hagbard-Line, HL A-117, 1
D11679, Hagbard-Line, HL A-117, 1
D11696, Hagbard-Line, HL A-117, 1
